Datetime,Open,High,Low,Close,MA50
1/31/08 0:00,1.48246,1.49137,1.47994,1.48597,1.4627896
2/1/08 0:00,1.48596,1.49468,1.47839,1.47995,1.4629872
2/3/08 0:00,1.48036,1.48057,1.47895,1.48011,1.4633998
2/4/08 0:00,1.47997,1.48482,1.47889,1.48243,1.463692
2/5/08 0:00,1.48232,1.48314,1.46185,1.46334,1.4640338
2/6/08 0:00,1.46316,1.46699,1.45877,1.46114,1.463999
2/7/08 0:00,1.46119,1.46513,1.44366,1.44742,1.4638074
2/8/08 0:00,1.44737,1.45475,1.44467,1.4503,1.4634386
2/10/08 0:00,1.45127,1.45279,1.45076,1.45234,1.4630226
2/11/08 0:00,1.45228,1.45786,1.44788,1.44972,1.4628198
2/12/08 0:00,1.44974,1.46141,1.44923,1.4578,1.4629578
2/13/08 0:00,1.45778,1.45988,1.45307,1.4552,1.463286
2/14/08 0:00,1.45526,1.46475,1.45457,1.46391,1.4635732
2/15/08 0:00,1.46409,1.47084,1.46266,1.46802,1.4640182
2/17/08 0:00,1.4679,1.46806,1.46626,1.46708,1.4646192
2/18/08 0:00,1.46712,1.46901,1.46081,1.46478,1.4653024
2/19/08 0:00,1.46468,1.4756,1.46378,1.47274,1.4658436
2/20/08 0:00,1.47305,1.4733,1.46123,1.47207,1.4665536
2/21/08 0:00,1.472,1.48366,1.46986,1.48108,1.4672084
2/22/08 0:00,1.48095,1.48614,1.47847,1.48235,1.468042
2/24/08 0:00,1.48363,1.48396,1.48259,1.48307,1.4687252
2/25/08 0:00,1.48313,1.4844,1.47909,1.48303,1.4691702
2/26/08 0:00,1.48312,1.50454,1.47754,1.49949,1.4693888
2/27/08 0:00,1.49948,1.51435,1.49774,1.5115,1.4699162
2/28/08 0:00,1.51132,1.52301,1.50706,1.51913,1.4709806
2/29/08 0:00,1.51908,1.52383,1.51417,1.5177,1.4721284
3/2/08 0:00,1.51928,1.52256,1.51854,1.51987,1.4730544
3/3/08 0:00,1.51987,1.52734,1.51554,1.51957,1.4739696
3/4/08 0:00,1.51958,1.52467,1.51706,1.52044,1.4748816
3/5/08 0:00,1.5204,1.53015,1.51425,1.52749,1.475796
3/6/08 0:00,1.52764,1.53957,1.52678,1.53792,1.4769854
3/7/08 0:00,1.53811,1.54591,1.53138,1.5354,1.4783354
3/9/08 0:00,1.53607,1.5403,1.53544,1.53924,1.4797266
3/10/08 0:00,1.5392,1.54003,1.53116,1.53352,1.4809154
3/11/08 0:00,1.53349,1.54948,1.52812,1.53355,1.4820424
3/12/08 0:00,1.53372,1.55725,1.53323,1.55386,1.4831076
3/13/08 0:00,1.55392,1.56433,1.55181,1.56189,1.484456
3/14/08 0:00,1.56194,1.56869,1.55294,1.56714,1.4860958
3/16/08 0:00,1.56745,1.57694,1.56709,1.57478,1.4881206
3/17/08 0:00,1.57478,1.59021,1.56859,1.57418,1.4903438
3/18/08 0:00,1.57425,1.58311,1.56081,1.5653,1.4925938
3/19/08 0:00,1.56519,1.57852,1.55808,1.56345,1.4947114
3/20/08 0:00,1.56355,1.56404,1.53926,1.54357,1.4971488
3/21/08 0:00,1.54324,1.54739,1.54014,1.54269,1.4987362
3/23/08 0:00,1.54349,1.54389,1.54003,1.5403,1.5003376
